gene,mean_LPS,mean_Control,log2FC_LPS_vs_Control,pvalue,padj
Tnip3,7.557213333333333,5.41611,2.1411033333333336,0.006050617527933106,0.8720319823152713
2610020H08Rik,4.66505,3.827883333333333,0.8371666666666671,0.00611297131099907,0.8737173146151954
Hspbap1,4.375383333333333,3.511253333333334,0.864129999999999,0.006133215476909263,0.8737173146151954
Ntng2,5.095296666666667,2.4102833333333336,2.6850133333333335,0.006316871749239522,0.881863626971412
Olfr1260,2.0030566666666667,1.8633199999999999,0.13973666666666684,0.006356760371395415,0.881863626971412
Ralgps1,7.113943333333334,5.643906666666666,1.470036666666668,0.006375178594418116,0.881863626971412
Unc79,2.1589233333333335,2.4177133333333334,-0.25878999999999985,0.00643804021573219,0.881863626971412
Gm14461,2.62858,2.442066666666667,0.1865133333333331,0.006438303547281093,0.881863626971412
Elmod2,6.403016666666667,5.803190000000001,0.5998266666666661,0.006481815336934501,0.881863626971412
Gm19722,2.261833333333333,2.74639,-0.48455666666666675,0.006486608058346698,0.881863626971412
D830046C22Rik,3.3545700000000003,3.690026666666667,-0.3354566666666665,0.006559405292076784,0.881863626971412
Fbxl13,1.9603233333333332,2.335853333333333,-0.3755299999999999,0.006576153259677652,0.881863626971412
Ifih1,6.1798633333333335,3.7255533333333335,2.45431,0.006580346594350744,0.881863626971412
Tjap1,5.9402,5.341829999999999,0.598370000000001,0.006584009225511861,0.881863626971412
Tlr8,2.7068999999999996,3.3270766666666667,-0.620176666666667,0.006629564638736885,0.8831655163333542
Rab11fip3,4.371483333333333,3.67857,0.6929133333333328,0.006759711781637487,0.886964631157556
Chd1,7.477873333333332,6.87962,0.5982533333333322,0.006849110114281669,0.886964631157556
LOC100041057,5.3223400000000005,4.17855,1.14379,0.006932508141959448,0.886964631157556
Fchsd2,6.37352,5.572936666666667,0.800583333333333,0.006946522954119412,0.886964631157556
Mir155,6.495693333333333,3.3260433333333332,3.1696499999999994,0.007036666370064812,0.886964631157556
Nfkb2,7.640763333333333,5.981113333333333,1.65965,0.007053196872670228,0.886964631157556
Klhl12,3.923493333333333,3.386563333333333,0.5369299999999999,0.007068758408068364,0.886964631157556
Larp1,9.060053333333334,8.549773333333334,0.5102799999999998,0.007076218453092594,0.886964631157556
Mageb16-ps1,2.2575266666666667,2.6142266666666667,-0.3567,0.007120001335532825,0.886964631157556
Krtap12-1,1.7758633333333333,1.94134,-0.16547666666666672,0.007150568462712228,0.886964631157556
Saa3,11.489933333333333,5.502903333333333,5.98703,0.007152902724015611,0.886964631157556
Gclm,8.939276666666666,6.571823333333334,2.3674533333333327,0.0072057842788540395,0.886964631157556
Prdm1,5.048593333333333,3.8474733333333333,1.2011199999999995,0.0072106535434814335,0.886964631157556
N4bp1,6.510723333333334,5.538056666666667,0.972666666666667,0.007269247824004793,0.886964631157556
Bicc1,2.4876633333333333,2.3161,0.1715633333333333,0.00728466530076386,0.886964631157556
Nfkbie,5.0360499999999995,2.8502233333333336,2.185826666666666,0.0073165148032674834,0.886964631157556
Ppp3cc,6.183176666666665,5.028366666666667,1.1548099999999986,0.00733805790754858,0.886964631157556
Dhx30,4.377283333333334,3.967323333333333,0.40996000000000077,0.007411235807287187,0.886964631157556
Ptpn13,2.2437500000000004,2.4237866666666665,-0.18003666666666618,0.00741491848975938,0.886964631157556
Olfr971,1.74812,1.8783966666666665,-0.1302766666666666,0.007471993884577266,0.886964631157556
Tnfaip3,7.6823033333333335,5.296106666666667,2.3861966666666667,0.007510184462833383,0.886964631157556
Prss8,2.6376500000000003,2.9339399999999998,-0.2962899999999995,0.007520900995800852,0.886964631157556
Nadk,7.494840000000001,6.576713333333333,0.9181266666666676,0.00753286831110578,0.886964631157556
Phip,8.037126666666667,7.613793333333334,0.4233333333333338,0.007549850449694248,0.886964631157556
H60c,2.2861333333333334,2.577933333333333,-0.29179999999999984,0.007557824002559819,0.886964631157556
Cmpk2,8.307143333333334,3.262313333333333,5.044830000000001,0.007630755195144239,0.8874173519882103
Ebi3,4.66976,3.5248150000000003,1.1449449999999999,0.0076976256514794915,0.8874173519882103
4930523C07Rik,2.682563333333333,2.9219266666666663,-0.23936333333333337,0.007736211422314926,0.8874173519882103
