Material ID,Formula,Crystal System,Space Group Symbol,Space Group Number,Sites,Energy Above Hull,Formation Energy,Predicted Stable,Volume,Density,Band Gap,Is Gap Direct,Is Metal,Magnetic Ordering,Total Magnetization,CBM,VBM
mp-2714701,Na5HfZn3P3(SO8)3,Triclinic,P1,1,117,0.06966,-2.38394,FALSE,1558.82421,3.39634,3.8074,TRUE,FALSE,NM,0,4.8488,1.0414
mp-2714816,Na5ZrZn3P3(SO8)3,Triclinic,P1,1,117,0.06892,-2.36554,FALSE,1570.04073,3.09519,3.1391,TRUE,FALSE,NM,0,4.1746,1.0355
mp-2714831,Na5Zn3SnP3(SO8)3,Triclinic,P1,1,117,0.06907,-2.21819,FALSE,1541.80636,3.24068,2.1526,TRUE,FALSE,NM,0,3.5498,1.3972
mp-2714955,Na8Zn3Si3Ge(SO8)3,Triclinic,P1,1,126,0.13956,-2.23546,FALSE,1577.85942,3.21157,1.8147,TRUE,FALSE,NM,0,3.7849,1.9702
mp-2715033,Na8HfZn3Si3(SO8)3,Triclinic,P1,1,126,0.12137,-2.389,FALSE,1640.57161,3.41022,3.1682,FALSE,FALSE,NM,0,4.9163,1.7481
mp-2715050,Na8Zn3Si3Sn(SO8)3,Triclinic,P1,1,126,0.12825,-2.24317,FALSE,1620.98032,3.26772,1.8354,FALSE,FALSE,NM,0,3.9804,2.145
mp-2715109,Na8TiZn3Si3(SO8)3,Triclinic,P1,1,126,0.12027,-2.35326,FALSE,1601.73303,3.08666,1.7888,FALSE,FALSE,NM,0,3.5646,1.7758
mp-2715211,Na8ZrZn3Si3(SO8)3,Triclinic,P1,1,126,0.11704,-2.37816,FALSE,1658.7081,3.11085,3.0569,TRUE,FALSE,NM,0,4.7104,1.6535
mp-2715860,Na7HfZn3P5SO24,Triclinic,P1,1,123,0.05895,-2.55153,FALSE,1577.94113,3.49347,3.92,TRUE,FALSE,NM,0,5.1715,1.2515
mp-2715975,Na7TiZn3P5SO24,Triclinic,P1,1,123,0.05938,-2.50406,FALSE,1530.50009,3.17659,2.2505,TRUE,FALSE,NM,0,3.671,1.4205
mp-2715977,Na7ZrZn3P5SO24,Triclinic,P1,1,123,0.05922,-2.53367,FALSE,1579.25869,3.21528,3.9103,TRUE,FALSE,NM,0,5.0598,1.1495
mp-2716010,Na7Zn3SnP5SO24,Triclinic,P1,1,123,0.06276,-2.39315,FALSE,1557.05569,3.34907,2.7558,TRUE,FALSE,NM,0,4.4126,1.6568
mp-2716056,Na7Zn3GeP5SO24,Triclinic,P1,1,123,0.08031,-2.37348,FALSE,1518.62834,3.28268,2.2888,TRUE,FALSE,NM,0,3.834,1.5452
mp-2716367,Na10Zn3Si6Sn5(SO8)6,Triclinic,P1,1,234,0.14486,-2.24544,FALSE,3191.43068,3.35375,1.3848,FALSE,FALSE,NM,0,3.6178,2.233
mp-2716523,Na10Zr5Zn3Si6(SO8)6,Triclinic,P1,1,234,0.11576,-2.60861,FALSE,3304.93471,3.03141,2.7121,FALSE,FALSE,NM,0,4.1321,1.42
mp-693463,NaCa3ScZn3(SiO3)8,Monoclinic,P2/c,13,80,0.02945,-3.10359,FALSE,927.82525,3.55464,4.3798,TRUE,FALSE,NM,0.00038,7.0133,2.6335
mp-709326,Zn3P3H10C2NO13,Monoclinic,P2_1/c,14,128,0.24988,-1.40771,FALSE,1524.09906,2.37624,0.7487,FALSE,FALSE,NM,0.00663,0.4776,-0.2711
